dataset,model,attack,norm,eps,n,clean_acc,robust_acc,seconds
imagenette,resnet50,pgd,linf,4/255,1000,0.9980,0.0190,69
imagenette,vit,pgd,linf,4/255,1000,0.9890,0.0160,312
imagenette,efficientnet,autoattack-fast,linf,4/255,100,1.0000,0.0000,23761
imagenette,efficientnet,autoattack,linf,4/255,500,1.0000,0.0000,176
imagenette,resnet50,autoattack,linf,4/255,500,1.0000,0.0000,383
imagenette,convnext,autoattack,linf,4/255,500,1.0000,0.0000,500
imagenette,efficientnet,autoattack,linf,1/255,500,1.0000,0.0120,330
imagenette,resnet50,autoattack,linf,1/255,500,1.0000,0.0040,499
imagenette,convnext,autoattack,linf,1/255,500,1.0000,0.0000,507
imagenette,vit,autoattack,linf,1/255,500,0.9880,0.0980,8480
imagenette,efficientnet,autoattack,linf,2/255,500,1.0000,0.0000,179
imagenette,resnet50,autoattack,linf,2/255,500,1.0000,0.0000,385
imagenette,convnext,autoattack,linf,2/255,500,1.0000,0.0000,499
imagenette,vit,autoattack,linf,2/255,500,0.9880,0.0000,1412
imagenette,vit,autoattack,linf,4/255,500,0.9880,0.0000,1216
imagenette,resnet50,pgd,linf,4/255,1000,0.9980,0.0190,69
imagenette,resnet50,fgsm,linf,1/255,500,1.0000,0.8160,7
imagenette,resnet50,fgsm,linf,2/255,500,1.0000,0.7840,7
imagenette,resnet50,fgsm,linf,4/255,500,1.0000,0.7920,7
imagenette,resnet50,fgsm,linf,8/255,500,1.0000,0.7880,7
imagenette,resnet50,fgsm,linf,16/255,500,1.0000,0.8080,7
imagenette,resnet50,fgsm,linf,32/255,500,1.0000,0.7780,7
imagenette,resnet50,bim,linf,1/255,500,1.0000,0.1380,36
imagenette,resnet50,bim,linf,2/255,500,1.0000,0.0520,42
imagenette,resnet50,bim,linf,4/255,500,1.0000,0.0220,41
imagenette,resnet50,bim,linf,8/255,500,1.0000,0.0060,41
imagenette,resnet50,bim,linf,16/255,500,1.0000,0.0000,42
imagenette,resnet50,bim,linf,32/255,500,1.0000,0.0000,41
imagenette,resnet50,pgd,linf,1/255,500,1.0000,0.1540,41
imagenette,resnet50,pgd,linf,2/255,500,1.0000,0.0620,41
imagenette,resnet50,pgd,linf,4/255,500,1.0000,0.0200,41
imagenette,resnet50,pgd,linf,8/255,500,1.0000,0.0080,41
imagenette,resnet50,pgd,linf,16/255,500,1.0000,0.0000,41
imagenette,resnet50,pgd,linf,32/255,500,1.0000,0.0000,41
imagenette,efficientnet,fgsm,linf,1/255,500,1.0000,0.7140,4
imagenette,resnet50,deepfool,linf,8/255,200,1.0000,0.1800,389
imagenette,efficientnet,fgsm,linf,1/255,200,1.0000,0.7350,3
imagenette,efficientnet,fgsm,linf,1/255,200,1.0000,0.7350,2
imagenette,efficientnet,fgsm,linf,2/255,200,1.0000,0.6050,3
imagenette,efficientnet,fgsm,linf,4/255,200,1.0000,0.5600,2
imagenette,efficientnet,fgsm,linf,8/255,200,1.0000,0.5950,2
imagenette,efficientnet,fgsm,linf,16/255,200,1.0000,0.6550,2
imagenette,efficientnet,fgsm,linf,32/255,200,1.0000,0.6600,2
imagenette,efficientnet,bim,linf,1/255,200,1.0000,0.2500,8
imagenette,efficientnet,bim,linf,2/255,200,1.0000,0.0750,8
imagenette,efficientnet,bim,linf,4/255,200,1.0000,0.0150,8
imagenette,efficientnet,bim,linf,8/255,200,1.0000,0.0050,8
imagenette,efficientnet,bim,linf,16/255,200,1.0000,0.0000,8
imagenette,efficientnet,bim,linf,32/255,200,1.0000,0.0000,8
imagenette,efficientnet,pgd,linf,1/255,200,1.0000,0.2650,8
imagenette,efficientnet,pgd,linf,2/255,200,1.0000,0.0750,8
imagenette,efficientnet,pgd,linf,4/255,200,1.0000,0.0150,8
imagenette,efficientnet,pgd,linf,8/255,200,1.0000,0.0050,8
imagenette,efficientnet,pgd,linf,16/255,200,1.0000,0.0000,8
imagenette,efficientnet,pgd,linf,32/255,200,1.0000,0.0000,8
imagenette,efficientnet,deepfool,linf,8/255,200,1.0000,0.0950,222
imagenette,convnext,fgsm,linf,1/255,200,1.0000,0.8950,12
imagenette,convnext,fgsm,linf,2/255,200,1.0000,0.8200,13
imagenette,convnext,fgsm,linf,4/255,200,1.0000,0.7950,13
imagenette,convnext,fgsm,linf,8/255,200,1.0000,0.7800,13
imagenette,convnext,fgsm,linf,16/255,200,1.0000,0.8100,13
imagenette,convnext,fgsm,linf,32/255,200,1.0000,0.8550,13
imagenette,convnext,bim,linf,1/255,200,1.0000,0.0450,32
imagenette,convnext,bim,linf,2/255,200,1.0000,0.0000,29
imagenette,convnext,bim,linf,4/255,200,1.0000,0.0000,32
imagenette,convnext,bim,linf,8/255,200,1.0000,0.0000,28
imagenette,convnext,bim,linf,16/255,200,1.0000,0.0000,34
imagenette,convnext,bim,linf,32/255,200,1.0000,0.0000,29
imagenette,convnext,pgd,linf,1/255,200,1.0000,0.0700,30
imagenette,convnext,pgd,linf,2/255,200,1.0000,0.0000,29
imagenette,convnext,pgd,linf,4/255,200,1.0000,0.0000,33
imagenette,convnext,pgd,linf,8/255,200,1.0000,0.0000,28
imagenette,convnext,pgd,linf,16/255,200,1.0000,0.0000,31
imagenette,convnext,pgd,linf,32/255,200,1.0000,0.0000,29
imagenette,convnext,deepfool,linf,8/255,200,1.0000,0.0950,371
imagenette,vit,fgsm,linf,1/255,200,0.9850,0.8100,11
imagenette,vit,fgsm,linf,2/255,200,0.9850,0.6550,12
imagenette,vit,fgsm,linf,4/255,200,0.9850,0.5900,12
imagenette,vit,fgsm,linf,8/255,200,0.9850,0.5700,12
imagenette,vit,fgsm,linf,16/255,200,0.9850,0.5600,12
imagenette,vit,fgsm,linf,32/255,200,0.9850,0.4550,12
imagenette,vit,bim,linf,1/255,200,0.9850,0.3650,62
imagenette,vit,bim,linf,2/255,200,0.9850,0.0650,63
imagenette,vit,bim,linf,4/255,200,0.9850,0.0150,63
imagenette,vit,bim,linf,8/255,200,0.9850,0.0050,63
imagenette,vit,bim,linf,16/255,200,0.9850,0.0000,63
imagenette,efficientnet,fgsm,linf,1/255,200,1.0000,0.7350,2
imagenette,vit,bim,linf,32/255,200,0.9850,0.0000,58
imagenette,vit,pgd,linf,1/255,200,0.9850,0.3650,62
imagenette,vit,pgd,linf,2/255,200,0.9850,0.0850,63
imagenette,vit,pgd,linf,4/255,200,0.9850,0.0200,63
imagenette,vit,pgd,linf,8/255,200,0.9850,0.0050,63
imagenette,vit,pgd,linf,16/255,200,0.9850,0.0000,62
imagenette,vit,pgd,linf,32/255,200,0.9850,0.0000,63
imagenette,vit,deepfool,linf,8/255,200,0.9850,0.0750,543
imagenette,resnet50,fgsm,linf,1/255,200,1.0000,0.8350,3
imagenette,resnet50,fgsm,linf,2/255,200,1.0000,0.8100,4
imagenette,resnet50,fgsm,linf,4/255,200,1.0000,0.8100,3
imagenette,resnet50,fgsm,linf,8/255,200,1.0000,0.8200,3
imagenette,resnet50,fgsm,linf,16/255,200,1.0000,0.8200,4
imagenette,resnet50,fgsm,linf,32/255,200,1.0000,0.8050,4
imagenette,resnet50,bim,linf,1/255,200,1.0000,0.1300,17
imagenette,resnet50,bim,linf,2/255,200,1.0000,0.0450,18
imagenette,resnet50,bim,linf,4/255,200,1.0000,0.0250,16
imagenette,resnet50,bim,linf,8/255,200,1.0000,0.0100,18
imagenette,resnet50,bim,linf,16/255,200,1.0000,0.0000,17
imagenette,resnet50,bim,linf,32/255,200,1.0000,0.0000,17
imagenette,resnet50,pgd,linf,1/255,200,1.0000,0.1650,17
imagenette,resnet50,pgd,linf,2/255,200,1.0000,0.0450,17
imagenette,resnet50,pgd,linf,4/255,200,1.0000,0.0200,17
imagenette,resnet50,pgd,linf,8/255,200,1.0000,0.0000,17
imagenette,resnet50,pgd,linf,16/255,200,1.0000,0.0000,17
imagenette,resnet50,pgd,linf,32/255,200,1.0000,0.0000,17
imagenette,resnet50,fgsm,linf,32/255,50,1.0000,0.8000,2
imagenette,efficientnet,fgsm,linf,32/255,50,1.0000,0.6200,2
imagenette,convnext,fgsm,linf,32/255,50,1.0000,0.9000,10
imagenette,vit,fgsm,linf,32/255,50,0.9800,0.4800,3
